コミュニティ譜面	社区谱面
生配信	生放送
周年記念生配信	周年纪念直播
公式生配信	官方直播
声優出演	声优出演
デモプレイ	演示游玩
新情報	新情报
アップデート情報	更新情报
今後の展開	今后计划

# 直播常用高频词
スペシャル	特别节目
特別番組	特别节目
放送局	放送局
リアルタイム翻訳	实时翻译
AIリアルタイム中字	AI实时中字
低遅延	低延迟
40秒遅延	40秒延迟

# プロセカ核心术语补充（直播中高频出现）
バーチャルシンガー	虚拟歌手
SEKAI	世界
ストーリー	剧情
イベントストーリー	活动剧情
MV	MV
3Dライブ	3D Live
リズムゲーム	节奏游戏
譜面	谱面
難易度	难度
MASTER+	MASTER+
APPEND+	APPEND+
クリティカル	CRITICAL
トレース	Trace
ロングノート	Long Note
スライドノート	Slide Note
タップノート	Tap Note
